category;name;value;status;type;condition;provinsi;kabupaten/kota;latitude;longitude;year;potential
Land;Public Facilities (Parks, Fields);75316890847;Used as Per Procedure;Agricultural Land;Slightly Damaged;Sulawesi Tengah;Kabupaten Donggala;-0.4233155;119.8352303;2016;0
Land;Warehousing/Logistics;57844896381;Not Used;Agricultural Land;Slightly Damaged;Sulawesi Tengah;Kabupaten Toli-Toli;0.8768231;120.7579834;2016;8676734457
Land;School/University Buildings;60442796703;Used for Functional Vehicles;Agricultural Land;Well Maintained;Sulawesi Tengah;Kabupaten Buol;0.9695452;121.3541631;2016;0
Buildings;Vacant Non-Utilized Land;91450653414;Operational Use;Official Residence;Needs Repair;Sulawesi Tengah;Kabupaten Parigi Moutong;0.5817607;120.8039474;2016;0
Buildings;Agricultural Land;6678613998;Not Used/Abandoned;Agricultural Land;Needs Repair;Sulawesi Tengah;Kabupaten Tojo Una-Una;-1.098757;121.5370003;2016;734647540
Land;Public Facilities (Parks, Fields);99426976479;Used for Functional Vehicles;Government Office Buildings;Needs Repair;Sulawesi Tengah;Kota Palu;-0.898583;119.850601;2016;0
Land;Hospitals/Health Centers;71560208139;Not Used/Abandoned;Official Residence;Slightly Damaged;Sulawesi Selatan;Kabupaten Selayar;-6;120.5;2016;10018429139
Buildings;Government Office Buildings;70426167874;Not Used;Hospitals/Health Centers;Slightly Damaged;Sulawesi Selatan;Kabupaten Bulukumba;-5.4329368;120.2051096;2016;7042616787
Land;Warehousing/Logistics;3319431209;Not Used/Abandoned;School/University Buildings;Well Maintained;Sulawesi Selatan;Kabupaten Bantaeng;-5.5169316;120.0202964;2016;331943121
Land;Official Residence;100003423724;Not Used/Abandoned;Monuments or Historical Buildings;Heavily Damaged;Sulawesi Selatan;Kabupaten Jeneponto;-5.554579;119.6730939;2016;11000376610
Land;Official Residence;3074803996;Used as Per Procedure;Sports Facilities (Stadiums, Sports Fields);Heavily Damaged;Sulawesi Selatan;Kabupaten Takalar;-5.4162493;119.4875668;2016;0
Buildings;Government Office Buildings;20377969376;Used for Functional Vehicles;School/University Buildings;Slightly Damaged;Sulawesi Selatan;Kabupaten Gowa;-5.3102888;119.742604;2016;0
Buildings;Vacant Non-Utilized Land;98447294103;Used for Functional Vehicles;Hospitals/Health Centers;Needs Repair;Sulawesi Selatan;Kabupaten Sinjai;-5.2171961;120.112735;2016;0
Buildings;Public Facilities (Parks, Fields);13925483276;Not Used/Abandoned;Sports Facilities (Stadiums, Sports Fields);Needs Repair;Sulawesi Selatan;Kabupaten Maros;-4.94695;119.578903;2016;1671057993
Land;Public Facilities (Parks, Fields);43732969889;Operational Use;Agricultural Land;Heavily Damaged;Sulawesi Selatan;Kabupaten Pangkajene Dan Kepulauan;-4.805035;119.5571677;2016;0
Buildings;Official Residence;83518085185;Used for Functional Vehicles;Warehousing/Logistics;Needs Repair;Sulawesi Selatan;Kabupaten Barru;-4.4172651;119.6730939;2016;0
Buildings;Official Residence;61859537943;Used by Others;School/University Buildings;Heavily Damaged;Sulawesi Selatan;Kabupaten Bone;-2.083333;120.216667;2016;0
Buildings;Monuments or Historical Buildings;80268656398;Used for Functional Vehicles;Monuments or Historical Buildings;Slightly Damaged;Sulawesi Selatan;Kabupaten Soppeng;-4.3518541;119.9277947;2016;0
Buildings;Warehousing/Logistics;21190913667;Used as Per Procedure;Official Residence;Slightly Damaged;Sulawesi Selatan;Kabupaten Wajo;-4.022229;120.0665236;2016;0
Buildings;Warehousing/Logistics;45278425410;Used by Others;School/University Buildings;Needs Repair;Sulawesi Selatan;Kabupaten Sidenreng Rappang;-3.7738981;120.0202964;2016;0
Buildings;School/University Buildings;54765427722;Operational Use;Hospitals/Health Centers;Needs Repair;Sulawesi Selatan;Kabupaten Pinrang;-3.793071;119.6408;2016;0
Land;Sports Facilities (Stadiums, Sports Fields);26770596232;Used as Per Procedure;Monuments or Historical Buildings;Heavily Damaged;Sulawesi Selatan;Kabupaten Enrekang;-3.563128;119.7612;2016;0
Land;Sports Facilities (Stadiums, Sports Fields);109656270495;Operational Use;Agricultural Land;Needs Repair;Sulawesi Selatan;Kabupaten Luwu;-3.3052214;120.2512728;2016;0
Land;Official Residence;73745604376;Used for Functional Vehicles;Agricultural Land;Slightly Damaged;Sulawesi Selatan;Kabupaten Tana Toraja;-3.0753003;119.742604;2016;0
Buildings;Agricultural Land;97114194903;Used for Functional Vehicles;Public Facilities (Parks, Fields);Needs Repair;Sulawesi Selatan;Kabupaten Luwu Utara;-2.2690446;119.9740534;2016;0
Buildings;School/University Buildings;43181194742;Used for Functional Vehicles;Agricultural Land;Needs Repair;Sulawesi Selatan;Kabupaten Luwu Timur;-2.5825518;121.1710389;2016;0
Land;Monuments or Historical Buildings;101626118974;Not Used;Vacant Non-Utilized Land;Needs Repair;Sulawesi Selatan;Kota Makassar;-5.1333333;119.4166667;2016;12195134277
Land;Monuments or Historical Buildings;27650032161;Not Used;Hospitals/Health Centers;Slightly Damaged;Sulawesi Selatan;Kota Pare-Pare;-4.0166667;119.6236111;2016;3041503538
Land;Hospitals/Health Centers;17349085431;Not Used;Vacant Non-Utilized Land;Needs Repair;Sulawesi Selatan;Kota Palopo;-3;120.2;2016;1908399397
Buildings;Agricultural Land;86464195571;Used by Others;Official Residence;Heavily Damaged;Sulawesi Tenggara;Kabupaten Buton;-5.3096355;122.9888319;2016;0
Land;Warehousing/Logistics;106920033434;Not Used;Government Office Buildings;Well Maintained;Sulawesi Tenggara;Kabupaten Muna;-4.901629;122.6277455;2016;10692003343
Buildings;Official Residence;6816812561;Not Used/Abandoned;Hospitals/Health Centers;Heavily Damaged;Sulawesi Tenggara;Kabupaten Konawe;-3.9380432;122.0837445;2016;749849382
Land;Warehousing/Logistics;10988804516;Not Used/Abandoned;Warehousing/Logistics;Heavily Damaged;Sulawesi Tenggara;Kabupaten Kolaka;-4.049665;121.593803;2016;1318656542
Buildings;Government Office Buildings;34932240287;Used for Functional Vehicles;Monuments or Historical Buildings;Heavily Damaged;Sulawesi Tenggara;Kabupaten Konawe Selatan;-4.2027915;122.4467238;2016;0
Land;Government Office Buildings;57794173343;Used for Functional Vehicles;Plantation Land;Slightly Damaged;Sulawesi Tenggara;Kabupaten Bombana;-4.6543462;121.9017954;2016;0
Land;Government Office Buildings;77388924052;Operational Use;Public Facilities (Parks, Fields);Heavily Damaged;Sulawesi Tenggara;Kabupaten Wakatobi;-5.3264442;123.5951925;2016;0
Land;Hospitals/Health Centers;105000770962;Used as Per Procedure;Vacant Non-Utilized Land;Needs Repair;Sulawesi Tenggara;Kabupaten Kolaka Utara;-3.1347227;121.1710389;2016;0
Buildings;Plantation Land;12946634113;Used as Per Procedure;Hospitals/Health Centers;Slightly Damaged;Sulawesi Tenggara;Kabupaten Buton Utara;-4.7023424;123.0338767;2016;0
Land;Hospitals/Health Centers;39153708656;Used by Others;Hospitals/Health Centers;Well Maintained;Sulawesi Tenggara;Kabupaten Konawe Utara;-3.3803291;122.0837445;2016;0
Buildings;Official Residence;29260643639;Used as Per Procedure;Plantation Land;Heavily Damaged;Sulawesi Tenggara;Kota Kendari;-3.972201;122.5149028;2016;0
Buildings;Plantation Land;88723268460;Used by Others;Agricultural Land;Well Maintained;Sulawesi Tenggara;Kota Bau-Bau;-5.46667;122.633;2016;0
Land;Government Office Buildings;17972675098;Operational Use;Vacant Non-Utilized Land;Needs Repair;Gorontalo;Kabupaten Boalemo;0.7013419;122.2653887;2016;0
Buildings;Government Office Buildings;96351607000;Used for Functional Vehicles;Government Office Buildings;Needs Repair;Gorontalo;Kabupaten Gorontalo;0.5333333;123.0666667;2016;0
Land;Vacant Non-Utilized Land;85019248039;Used for Functional Vehicles;Sports Facilities (Stadiums, Sports Fields);Heavily Damaged;Gorontalo;Kabupaten Pohuwato;0.7055278;121.7195459;2016;0
Buildings;Plantation Land;97118502514;Used by Others;Sports Facilities (Stadiums, Sports Fields);Needs Repair;Gorontalo;Kabupaten Bone Bolango;0.5657885;123.3486147;2016;0
Buildings;Hospitals/Health Centers;106497099054;Not Used;Warehousing/Logistics;Needs Repair;Gorontalo;Kabupaten Gorontalo Utara;0.9252647;122.4920088;2016;10649709905
Land;Agricultural Land;63012946483;Operational Use;Plantation Land;Needs Repair;Gorontalo;Kota Gorontalo;0.5333333;123.0666667;2016;0
Buildings;Public Facilities (Parks, Fields);50372697822;Not Used/Abandoned;Monuments or Historical Buildings;Slightly Damaged;Sulawesi Barat;Kabupaten Majene;-3.0297251;118.9062794;2016;6548450717
Buildings;Government Office Buildings;53297630381;Used for Functional Vehicles;Sports Facilities (Stadiums, Sports Fields);Well Maintained;Sulawesi Barat;Kabupaten Polewali Mandar;-3.3419323;119.1390642;2016;0
Buildings;Official Residence;98403531494;Used for Functional Vehicles;Vacant Non-Utilized Land;Heavily Damaged;Sulawesi Barat;Kabupaten Mamasa;-2.960135;119.368202;2016;0
Buildings;School/University Buildings;22931189269;Operational Use;Official Residence;Well Maintained;Sulawesi Barat;Kabupaten Mamuju;-2.7293364;118.9295737;2016;0
Buildings;Warehousing/Logistics;41245421064;Not Used/Abandoned;Public Facilities (Parks, Fields);Slightly Damaged;Sulawesi Barat;Kabupaten Mamuju Utara;-1.5264542;119.5107708;2016;4536996317
Buildings;School/University Buildings;70450958583;Not Used/Abandoned;Official Residence;Needs Repair;Maluku;Kabupaten Maluku Tenggara Barat;-7.5322642;131.3611121;2016;9863134202
Buildings;School/University Buildings;78681321723;Used by Others;School/University Buildings;Needs Repair;Maluku;Kabupaten Maluku Tenggara;-5.7512455;132.7271587;2016;0
Buildings;Public Facilities (Parks, Fields);6194460871;Not Used;Government Office Buildings;Slightly Damaged;Maluku;Kabupaten Maluku Tengah;-3.0166501;129.4864411;2016;867224522
Buildings;Sports Facilities (Stadiums, Sports Fields);107484524519;Used by Others;Government Office Buildings;Needs Repair;Maluku;Kabupaten Buru Selatan;-3.3927754;126.7819505;2016;0
Land;Official Residence;36421628762;Operational Use;Warehousing/Logistics;Heavily Damaged;Maluku;Kabupaten Kepulauan Aru;-6.1946502;134.5501935;2016;0
Buildings;Agricultural Land;22643313145;Used as Per Procedure;Sports Facilities (Stadiums, Sports Fields);Heavily Damaged;Maluku;Kabupaten Seram Bagian Barat;-3.1271575;128.4008357;2016;0
Land;School/University Buildings;33753731497;Used by Others;Plantation Land;Well Maintained;Maluku;Kabupaten Seram Bagian Timur;-3.4150761;130.390488;2016;0
Land;Warehousing/Logistics;108211825098;Used as Per Procedure;Monuments or Historical Buildings;Slightly Damaged;Maluku;Kota Ambon;-3.65607;128.166419;2016;0
Buildings;Agricultural Land;73466670085;Operational Use;School/University Buildings;Slightly Damaged;Maluku;Kota Tual;-5.640851;132.7475093;2016;0
Land;School/University Buildings;26952392058;Not Used/Abandoned;Agricultural Land;Heavily Damaged;Maluku Utara;Kabupaten Halmahera Barat;1.3121235;128.4849923;2016;2695239206
Land;Official Residence;22097456747;Used as Per Procedure;Government Office Buildings;Needs Repair;Maluku Utara;Kabupaten Halmahera Tengah;1.3121235;128.4849923;2016;0
Land;Hospitals/Health Centers;8229863053;Used for Functional Vehicles;Government Office Buildings;Slightly Damaged;Maluku Utara;Kabupaten Kepulauan Sula;-1.8666667;125.3666667;2016;0
Buildings;Sports Facilities (Stadiums, Sports Fields);39911805647;Used as Per Procedure;Agricultural Land;Slightly Damaged;Maluku Utara;Kabupaten Halmahera Selatan;1.3121235;128.4849923;2016;0
Buildings;Sports Facilities (Stadiums, Sports Fields);90518201305;Not Used;School/University Buildings;Needs Repair;Maluku Utara;Kabupaten Halmahera Utara;1.3121235;128.4849923;2016;13577730196
Land;Hospitals/Health Centers;30265133619;Not Used;Official Residence;Slightly Damaged;Maluku Utara;Kabupaten Halmahera Timur;1.3121235;128.4849923;2016;3934467370
Land;Public Facilities (Parks, Fields);40491667410;Operational Use;Government Office Buildings;Needs Repair;Maluku Utara;Kota Ternate;0.7833333;127.3666667;2016;0
Land;Warehousing/Logistics;83670549890;Not Used;Sports Facilities (Stadiums, Sports Fields);Well Maintained;Maluku Utara;Kota Tidore Kepulauan;0.6833333;127.4;2016;8367054989
Land;Warehousing/Logistics;76474192638;Not Used/Abandoned;Warehousing/Logistics;Well Maintained;Papua;Kabupaten Fakfak;-2.885237;132.2658282;2016;11471128896
Buildings;Vacant Non-Utilized Land;45320303282;Not Used/Abandoned;School/University Buildings;Needs Repair;Papua;Kabupaten Kaimana;-3.660925;133.774506;2016;5891639427
Land;Vacant Non-Utilized Land;18056245110;Used as Per Procedure;Plantation Land;Well Maintained;Papua;Kabupaten Teluk Wondama;-2.8551699;134.3236557;2016;0
Buildings;Public Facilities (Parks, Fields);98212311816;Used for Functional Vehicles;Official Residence;Needs Repair;Papua;Kabupaten Teluk Bintuni;-1.9056848;133.329466;2016;0
Land;Hospitals/Health Centers;63190715630;Operational Use;Sports Facilities (Stadiums, Sports Fields);Needs Repair;Papua;Kabupaten Manokwari;-0.8614531;134.0620421;2016;0
Buildings;School/University Buildings;28214958096;Used by Others;Hospitals/Health Centers;Slightly Damaged;Papua;Kabupaten Sorong Selatan;-0.8666667;131.25;2016;0
Buildings;Vacant Non-Utilized Land;26019697691;Used for Functional Vehicles;School/University Buildings;Needs Repair;Papua;Kota Sorong;-0.8666667;131.25;2016;0
Buildings;Monuments or Historical Buildings;49270906128;Used by Others;Public Facilities (Parks, Fields);Needs Repair;Papua;Kabupaten Raja Ampat;-1.0915151;130.8778586;2016;0
Buildings;Sports Facilities (Stadiums, Sports Fields);44299869814;Operational Use;Sports Facilities (Stadiums, Sports Fields);Needs Repair;Papua;Kabupaten Sorong;-0.8666667;131.25;2016;0
Land;Agricultural Land;7568935876;Used by Others;Vacant Non-Utilized Land;Needs Repair;Papua;Kabupaten Merauke;-8.4960406;140.3945527;2016;0
Land;Public Facilities (Parks, Fields);103637304601;Used for Functional Vehicles;Monuments or Historical Buildings;Needs Repair;Papua;Kabupaten Jayawijaya;-4.0004481;138.7995122;2016;0
Land;Sports Facilities (Stadiums, Sports Fields);86474537571;Not Used;Official Residence;Heavily Damaged;Papua;Kabupaten Jayapura;-2.533;140.717;2016;12971180636
Land;Vacant Non-Utilized Land;54563242539;Operational Use;Vacant Non-Utilized Land;Heavily Damaged;Papua;Kabupaten Nabire;-3.5095462;135.7520985;2016;0
Land;Agricultural Land;35921739846;Not Used;Government Office Buildings;Heavily Damaged;Papua;Kabupaten Kepulauan Yapen;-1.7469359;136.1709012;2016;5029043578
Buildings;School/University Buildings;19941544246;Not Used;Plantation Land;Well Maintained;Papua;Kabupaten Biak Numfor;-1.0381022;135.9800848;2016;2392985310
Land;Sports Facilities (Stadiums, Sports Fields);18272746618;Not Used;Vacant Non-Utilized Land;Slightly Damaged;Papua;Kabupaten Paniai;-3.7876441;136.3624686;2016;2192729594
Buildings;Official Residence;26426312023;Used for Functional Vehicles;Sports Facilities (Stadiums, Sports Fields);Well Maintained;Papua;Kabupaten Puncak Jaya;-4.0836111;137.1847222;2016;0
Land;Public Facilities (Parks, Fields);24232775049;Not Used/Abandoned;Government Office Buildings;Well Maintained;Papua;Kabupaten Mimika;-4.4553223;137.1362125;2016;2907933006
Buildings;Government Office Buildings;77985517046;Used as Per Procedure;Hospitals/Health Centers;Heavily Damaged;Papua;Kabupaten Boven Digoel;-5.7400018;140.3481835;2016;0
Land;Agricultural Land;84571285703;Not Used;Official Residence;Heavily Damaged;Papua;Kabupaten Mappi;-7.102232;139.396393;2016;10148554284
Buildings;Government Office Buildings;39941231353;Used as Per Procedure;School/University Buildings;Slightly Damaged;Papua;Kabupaten Asmat;-5.0573958;138.3988186;2016;0
Land;Sports Facilities (Stadiums, Sports Fields);17514994013;Operational Use;Plantation Land;Needs Repair;Papua;Kabupaten Yahukimo;-4.4939717;139.5279996;2016;0
Land;Official Residence;70846699697;Used by Others;Vacant Non-Utilized Land;Well Maintained;Papua;Kabupaten Pegunungan Bintang;-4.5589872;140.5135589;2016;0
Buildings;Government Office Buildings;36573167399;Not Used;Hospitals/Health Centers;Slightly Damaged;Papua;Kabupaten Tolikara;-3.481132;138.4787258;2016;4754511762
Buildings;School/University Buildings;102440300194;Not Used/Abandoned;Sports Facilities (Stadiums, Sports Fields);Needs Repair;Papua;Kabupaten Sarmi;-1.868727;138.743607;2016;15366045029
Buildings;Vacant Non-Utilized Land;86662091330;Used as Per Procedure;Warehousing/Logistics;Well Maintained;Papua;Kabupaten Keerom;-3.3449536;140.7624493;2016;0
Land;Monuments or Historical Buildings;108539932880;Operational Use;Official Residence;Slightly Damaged;Papua;Kabupaten Waropen;-2.8435717;136.670534;2016;0
Land;Monuments or Historical Buildings;97507981953;Used for Functional Vehicles;Public Facilities (Parks, Fields);Well Maintained;Papua;Kabupaten Supiori;-0.7295099;135.6385125;2016;0
Land;Hospitals/Health Centers;584043754;Not Used/Abandoned;Vacant Non-Utilized Land;Slightly Damaged;Papua;Kabupaten Mamberamo Raya;-2.5331255;137.7637565;2016;70085251
Buildings;Sports Facilities (Stadiums, Sports Fields);6629955491;Not Used/Abandoned;Warehousing/Logistics;Well Maintained;Papua;Kota Jayapura;-2.533;140.717;2016;994493324
Buildings;Government Office Buildings;98697949251;Operational Use;Agricultural Land;Needs Repair;Sumatera Utara;Kabupaten Labuhanbatu Utara;2.3465638;99.8124935;2016;0
Land;School/University Buildings;13068885098;Used for Functional Vehicles;Sports Facilities (Stadiums, Sports Fields);Well Maintained;Sumatera Utara;Kabupaten Labuhanbatu Selatan;1.8799353;100.1703257;2016;0
Buildings;Monuments or Historical Buildings;65445770682;Used by Others;Plantation Land;Heavily Damaged;Sumatera Utara;Kabupaten Nias Utara;1.1255279;97.5247243;2016;0
Buildings;Agricultural Land;38989556762;Used by Others;Sports Facilities (Stadiums, Sports Fields);Well Maintained;Sumatera Utara;Kabupaten Nias Barat;1.1255279;97.5247243;2016;0
Land;Official Residence;3710992156;Not Used/Abandoned;Monuments or Historical Buildings;Needs Repair;Sumatera Utara;Kota Gunungsitoli;1.281964;97.61594;2016;445319059
Buildings;Official Residence;9106856806;Used as Per Procedure;Sports Facilities (Stadiums, Sports Fields);Heavily Damaged;Riau;Kabupaten Kepulauan Meranti;0.9208765;102.6675575;2016;0
Buildings;School/University Buildings;84153581309;Used for Functional Vehicles;Government Office Buildings;Needs Repair;Jambi;Kota Sungai Penuh;-2.06314;101.387199;2016;0
Buildings;Hospitals/Health Centers;92567410765;Used for Functional Vehicles;Monuments or Historical Buildings;Needs Repair;Bengkulu;Kabupaten Bengkulu Tengah;-3.7955556;102.2591667;2016;0
Land;Public Facilities (Parks, Fields);39912902662;Not Used/Abandoned;Public Facilities (Parks, Fields);Slightly Damaged;Lampung;Kabupaten Tulangbawang Barat;-4.5256967;105.0791228;2016;4789548319
Buildings;Hospitals/Health Centers;27116611083;Used by Others;Hospitals/Health Centers;Needs Repair;Lampung;Kabupaten Pringsewu;-5.3539884;104.9622498;2016;0
Land;Agricultural Land;54238254591;Not Used/Abandoned;Public Facilities (Parks, Fields);Needs Repair;Lampung;Kabupaten Mesuji;-4.0044783;105.3131185;2016;5423825459
Buildings;Government Office Buildings;16733644859;Not Used/Abandoned;Government Office Buildings;Needs Repair;Kepulauan Riau;Kabupaten Lingga;-0.1627686;104.6354631;2016;1840700934
Land;Government Office Buildings;67792571838;Operational Use;Government Office Buildings;Heavily Damaged;Kepulauan Riau;3.1055459;105.6537231;Kabupaten Anambas;2016;0
Buildings;Vacant Non-Utilized Land;81260888083;Operational Use;Plantation Land;Well Maintained;DI Yogyakarta;-7.716165;110.335403;Kabupaten Sleman;2016;0
Land;Official Residence;77355329793;Used as Per Procedure;Government Office Buildings;Heavily Damaged;Banten;-6.2888889;106.7180556;Kota Tangerang Selatan;2016;0
Land;Government Office Buildings;102421667578;Used by Others;Sports Facilities (Stadiums, Sports Fields);Needs Repair;Nusa Tenggara Barat;-8.3739076;116.2777073;Kabupaten Lombok Utara;2016;0
Buildings;Hospitals/Health Centers;66119356295;Used by Others;Warehousing/Logistics;Needs Repair;Nusa Tenggara Timur;-10.5541116;121.8334868;Kabupaten Sabu Raijua;2016;0
Buildings;Official Residence;65403330548;Not Used;Public Facilities (Parks, Fields);Needs Repair;Sulawesi Utara;0.7152651;124.4641848;Kabupaten Bolang Mongondow Timur;2016;6540333055
Land;Warehousing/Logistics;80983699119;Not Used/Abandoned;Vacant Non-Utilized Land;Heavily Damaged;Sulawesi Utara;0.4053215;123.8411288;Kabupaten Bolang Mongondow Selatan;2016;12147554868
Buildings;Plantation Land;79752818238;Used as Per Procedure;Official Residence;Needs Repair;Sulawesi Tengah;-1.3834127;120.0665236;Kabupaten Sigi;2016;0
Land;Government Office Buildings;30676815768;Used by Others;Plantation Land;Slightly Damaged;Sulawesi Selatan;-2.8621942;119.8352303;Kabupaten Toraja Utara;2016;0
Buildings;School/University Buildings;87606330268;Not Used;Vacant Non-Utilized Land;Heavily Damaged;Maluku;-7.7851588;126.3498097;Kabupaten Maluku Barat Daya;2016;11388822935
Land;Plantation Land;99384456444;Used for Functional Vehicles;School/University Buildings;Slightly Damaged;Maluku;-3.3927754;126.7819505;Kabupaten Buru;2016;0
Buildings;Sports Facilities (Stadiums, Sports Fields);85645409219;Not Used/Abandoned;Warehousing/Logistics;Slightly Damaged;Maluku;2.3656672;128.4008357;Kabupaten Pulau Morota;2016;9420995014
Buildings;Vacant Non-Utilized Land;93334534727;Not Used;Plantation Land;Heavily Damaged;Papua Barat;-0.781856;132.3938375;Kabupaten Tambrauw;2016;11200144167
Buildings;School/University Buildings;93261853400;Used by Others;Government Office Buildings;Needs Repair;Papua;3.1472;101.6997;Kabupaten Maybat;2016;0
Buildings;Hospitals/Health Centers;27209506871;Operational Use;Vacant Non-Utilized Land;Well Maintained;Papua;-2.3745692;138.3190276;Kabupaten Memberamo Tengah;2016;0
Land;Hospitals/Health Centers;90880587851;Used as Per Procedure;Public Facilities (Parks, Fields);Needs Repair;Papua;-3.7852847;139.4466005;Kabupaten Yalimo;2016;0
Land;Warehousing/Logistics;79005312738;Used for Functional Vehicles;Government Office Buildings;Slightly Damaged;Papua;-3.971033;138.3190276;Kabupaten Lanny Jaya;2016;0
Buildings;Agricultural Land;35533049068;Not Used/Abandoned;Public Facilities (Parks, Fields);Heavily Damaged;Papua;-4.4069496;138.2393528;Kabupaten Nduga;2016;4263965888
Land;School/University Buildings;74137591277;Operational Use;Agricultural Land;Slightly Damaged;Papua;-6.7125476;106.9542425;Kabupaten Puncak;2016;0
Buildings;Warehousing/Logistics;73973610949;Used as Per Procedure;Warehousing/Logistics;Heavily Damaged;Papua;-4.0193872;135.9610446;Kabupaten Dogiyai;2016;0
Land;School/University Buildings;88166945119;Used for Functional Vehicles;School/University Buildings;Needs Repair;Papua;-3.5076422;136.7478493;Kabupaten Intan Jaya;2016;0
Land;School/University Buildings;6655587;Used for Functional Vehicles;Public Facilities (Parks, Fields);Needs Repair;Papua;-4.0974893;136.4393054;Kabupaten Deiyai;2016;0
Building;School/University Building;723885401108;Used for Functional Vehicles;Monument or Historical Building;Needs Repair;Aceh;Kabupaten Aceh Besar;4.695135;96.7493993;2016;0
Land;Agricultural Land;741929919412;Used for Operations;Sports Facilities (e.g., stadium, sports field);Slightly Damaged;Sumatera Utara;Kabupaten Deli Serdang;2.1153547;99.5450974;2017;0
Land;Government Office Building;908388777826;Used for Operations;School/University Building;Well Maintained;Sumatera Barat;Kabupaten Padang Pariaman;-0.7399397;100.8000051;2017;0
Building;Hospital/Clinic;1047138681831;Used According to Procedure;Government Office Building;Well Maintained;Riau;Kabupaten Kampar;0.2933469;101.7068294;2017;0
Land;Agricultural Land;826555368808;Used for Operations;Warehouse/Logistics;Slightly Damaged;Jambi;Kabupaten Muaro Jambi;-1.4851831;102.4380581;2017;0
Land;Sports Facilities (Stadium, Sports Field);1317257324613;Used According to Procedure;Government Office Building;Well Maintained;Sumatera Selatan;Kabupaten Ogan Ilir;-3.3194374;103.914399;2017;0
Land;Unused Vacant Land;969686169624;Used According to Procedure;Public Facilities (e.g., park, field);Well Maintained;Bengkulu;Kabupaten Bengkulu;-3.5778471;102.3463875;2017;0
Land;Agricultural Land;800736055859;Not Used/Abandoned;Agricultural Land;Severely Damaged;Lampung;Kabupaten Lampung Selatan;-4.5585849;105.4068079;2017;104095687262
Land;Plantation Land;840287535722;Used by Other Parties;Infrastructure (e.g., bridges, roads);Well Maintained;Kepulauan Bangka Belitung;Kabupaten Bangka;-2.7410513;106.4405872;2017;0
Land;Official Residence;1479856704867;Used for Functional Vehicles;School/University Building;Slightly Damaged;Kepulauan Riau;Kabupaten Karimun;3.9456514;108.1428669;2017;0
Land;Plantation Land;1154183619797;Used for Functional Vehicles;Government Office Building;Needs Repair;DKI Jakarta;Kota Jakarta;-6.211544;106.845172;2017;0
Building;Unused Vacant Land;903922449823;Used by Other Parties;Infrastructure (e.g., bridges, roads);Needs Repair;Jawa Barat;Kabupaten Bandung;-7.090911;107.668887;2017;0
Building;Warehouse/Logistics;1388012179301;Used by Other Parties;School/University Building;Well Maintained;Jawa Tengah;Kabupaten Semarang;-7.150975;110.1402594;2017;0
Land;Warehouse/Logistics;1256612561531;Not Yet Used;Hospital/Clinic;Well Maintained;DI Yogyakarta;Kabupaten Sleman;-7.8753849;110.4262088;2017;138227381768
Building;Sports Facilities (Stadium, Sports Field);1355981418486;Used According to Procedure;Public Facilities (e.g., park, field);Severely Damaged;Jawa Timur;Kabupaten Sidoarjo;-7.5360639;112.2384017;2017;0
Building;Warehouse/Logistics;656934636299;Not Used/Abandoned;Warehouse/Logistics;Slightly Damaged;Banten;Kabupaten Tangerang;-6.4058172;106.0640179;2017;65693463630
Building;Government Office Building;1294179192941;Not Yet Used;Hospital/Clinic;Severely Damaged;Bali;Kabupaten Badung;-8.4095178;115.188916;2017;129417919294
Building;School/University Building;973914303705;Used According to Procedure;Monument or Historical Building;Needs Repair;Nusa Tenggara Barat;Kabupaten Lombok Barat;-8.6529334;117.3616476;2017;0
Building;Plantation Land;564554006791;Used for Functional Vehicles;Hospital/Clinic;Needs Repair;Nusa Tenggara Timur;Kabupaten Kupang;-8.6573819;121.0793705;2017;0
Land;Public Facilities (Park, Field);588291616744;Not Yet Used;Agricultural Land;Well Maintained;Kalimantan Barat;Kabupaten Pontianak;-0.2787808;111.4752851;2017;82360826344
Building;Official Residence;1066608385503;Used According to Procedure;Plantation Land;Severely Damaged;Kalimantan Tengah;Kabupaten Palangkaraya;-1.6814878;113.3823545;2017;0
Land;Government Office Building;883093654640;Not Used/Abandoned;Sports Facilities (e.g., stadium, sports field);Needs Repair;Kalimantan Selatan;Kabupaten Banjar;-3.0926415;115.2837585;2017;105971238557
Land;Monument or Historical Building;567211859237;Used for Functional Vehicles;Infrastructure (e.g., bridges, roads);Slightly Damaged;Kalimantan Timur;Kabupaten Kutai Kartanegara;1.6406296;116.419389;2017;0
Building;Hospital/Clinic;930444246978;Used for Functional Vehicles;Infrastructure (e.g., bridges, roads);Well Maintained;Sulawesi Utara;Kabupaten Minahasa;0.6246932;123.9750018;2017;0
Building;Monument or Historical Building;1283975481606;Used by Other Parties;School/University Building;Slightly Damaged;Sulawesi Tengah;Kabupaten Donggala;-1.4300254;121.4456179;2017;0
Land;Sports Facilities (Stadium, Sports Field);710488703303;Used by Other Parties;Plantation Land;Needs Repair;Sulawesi Selatan;Kabupaten Luwu;-3.6687994;119.9740534;2017;0
Land;Agricultural Land;1214811043354;Not Yet Used;School/University Building;Needs Repair;Sulawesi Tenggara;Kabupaten Kolaka;-4.14491;122.174605;2017;145777325202
Land;Government Office Building;920448961278;Used for Operations;Sports Facilities (e.g., stadium, sports field);Severely Damaged;Gorontalo;Kabupaten Gorontalo;0.6999372;122.4467238;2017;0
